,Region,Subregion,admin,admin1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,observed_date,report_date,ID,ymIN,monthIN,dayIN,myIN,y
1,Americas,Caribbean,Dominican Republic,Concepción de la Vega,Algarrobo,19.112215,-70.449289,OIE,Confirmed,Domestic,Swine,17/01/2022,16/02/2022,1,1/17/2022,1,17,2022-01,2022
2,Americas,Caribbean,Dominican Republic,Villa Altagracia,amacey,18.555496,-68.583606,OIE,Confirmed,Domestic,Swine,8/12/2021,16/02/2022,1,12/8/2021,12,8,2021-12,2021
3,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,La Sierra,18.4572,-69.1845,OIE,Confirmed,Domestic,Swine,5/12/2021,28/12/2021,1,12/5/2021,12,5,2021-12,2021
4,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,La sierra,18.457166,-69.184462,OIE,Confirmed,Domestic,Swine,5/12/2021,16/02/2022,1,12/5/2021,12,5,2021-12,2021
5,Americas,Caribbean,Dominican Republic,Villa Altagracia,La laguna,18.819471,-68.670135,OIE,Confirmed,Domestic,Swine,29/11/2021,28/12/2021,1,11/29/2021,11,29,2021-11,2021
6,Americas,Caribbean,Dominican Republic,Villa Altagracia,La laguna,18.819471,-68.670135,OIE,Confirmed,Domestic,Swine,29/11/2021,16/02/2022,1,11/29/2021,11,29,2021-11,2021
7,Americas,Caribbean,Dominican Republic,Salcedo,la ceiba,19.31436,-70.431561,OIE,Confirmed,Domestic,Swine,25/11/2021,28/12/2021,1,11/25/2021,11,25,2021-11,2021
8,Americas,Caribbean,Dominican Republic,Salcedo,Hospital,19.314,-70.432,OIE,Confirmed,Domestic,Swine,25/11/2021,16/02/2022,1,11/25/2021,11,25,2021-11,2021
9,Americas,Caribbean,Dominican Republic,Villa Altagracia,La llanada,18.684277,-68.737268,OIE,Confirmed,Domestic,Swine,24/11/2021,28/12/2021,1,11/24/2021,11,24,2021-11,2021
10,Americas,Caribbean,Dominican Republic,Villa Altagracia,Hoyo bonito,18.588038,-68.770476,OIE,Confirmed,Domestic,Swine,24/11/2021,28/12/2021,1,11/24/2021,11,24,2021-11,2021
11,Americas,Caribbean,Dominican Republic,Villa Altagracia,La llanada,18.684,-68.737,OIE,Confirmed,Domestic,Swine,24/11/2021,16/02/2022,1,11/24/2021,11,24,2021-11,2021
12,Americas,Caribbean,Dominican Republic,Villa Altagracia,Hoyo bonito,18.588038,-68.770476,OIE,Confirmed,Domestic,Swine,24/11/2021,16/02/2022,1,11/24/2021,11,24,2021-11,2021
13,Americas,Caribbean,Dominican Republic,Villa Altagracia,Ca?ada Honda,18.879,-68.708,OIE,Confirmed,Domestic,Swine,23/11/2021,28/12/2021,1,11/23/2021,11,23,2021-11,2021
14,Americas,Caribbean,Dominican Republic,Villa Altagracia,ca?ada honda,18.879179,-68.707082,OIE,Confirmed,Domestic,Swine,23/11/2021,16/02/2022,1,11/23/2021,11,23,2021-11,2021
15,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,El vertedero,18.549158,-69.30845,OIE,Confirmed,Domestic,Swine,20/11/2021,28/12/2021,1,11/20/2021,11,20,2021-11,2021
16,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,El vertedero,18.549158,-69.30845,OIE,Confirmed,Domestic,Swine,20/11/2021,28/12/2021,1,11/20/2021,11,20,2021-11,2021
17,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,El vertedero,18.549158,-69.30845,OIE,Confirmed,Domestic,Swine,20/11/2021,16/02/2022,1,11/20/2021,11,20,2021-11,2021
18,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,El vertedero,18.549158,-69.30845,OIE,Confirmed,Domestic,Swine,20/11/2021,16/02/2022,1,11/20/2021,11,20,2021-11,2021
19,Americas,Caribbean,Dominican Republic,Concepción de la Vega,Montegrande,19.238552,-70.565581,OIE,Confirmed,Domestic,Swine,20/11/2021,16/02/2022,1,11/20/2021,11,20,2021-11,2021
20,Americas,Caribbean,Dominican Republic,Villa Altagracia,Benerito,18.466979,-68.828211,OIE,Confirmed,Domestic,Swine,19/11/2021,28/12/2021,1,11/19/2021,11,19,2021-11,2021
21,Americas,Caribbean,Dominican Republic,Villa Altagracia,Uvero Alto,18.789632,-68.60061,OIE,Confirmed,Domestic,Swine,19/11/2021,28/12/2021,1,11/19/2021,11,19,2021-11,2021
22,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,Mata Caliche,18.590528,-69.415903,OIE,Confirmed,Domestic,Swine,19/11/2021,28/12/2021,1,11/19/2021,11,19,2021-11,2021
23,Americas,Caribbean,Dominican Republic,Villa Altagracia,Uvero Alto,18.79,-68.601,OIE,Confirmed,Domestic,Swine,19/11/2021,16/02/2022,1,11/19/2021,11,19,2021-11,2021
24,Americas,Caribbean,Dominican Republic,Villa Altagracia,Benerito,18.467,-68.828,OIE,Confirmed,Domestic,Swine,19/11/2021,16/02/2022,1,11/19/2021,11,19,2021-11,2021
25,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,Matacaliche,18.590528,-69.415903,OIE,Confirmed,Domestic,Swine,19/11/2021,16/02/2022,1,11/19/2021,11,19,2021-11,2021
26,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,Los Montones,18.573027,-69.440412,OIE,Confirmed,Domestic,Swine,15/11/2021,28/12/2021,1,11/15/2021,11,15,2021-11,2021
27,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,Los Montones,18.572951,-69.44055,OIE,Confirmed,Domestic,Swine,15/11/2021,28/12/2021,1,11/15/2021,11,15,2021-11,2021
28,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,Los Montones,18.57269,-69.440812,OIE,Confirmed,Domestic,Swine,15/11/2021,28/12/2021,1,11/15/2021,11,15,2021-11,2021
29,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,Los Montones,18.573,-69.441,OIE,Confirmed,Domestic,Swine,15/11/2021,16/02/2022,1,11/15/2021,11,15,2021-11,2021
30,Americas,Caribbean,Dominican Republic,San Pedro de Macoris,Los montones,18.573,-69.44,OIE,Confirmed,Domestic,Swine,15/11/2021,16/02/2022,1,11/15/2021,11,15,2021-11,2021
31,Americas,Caribbean,Dominican Republic,La Romana,El Gato,18.46443,-69.099911,OIE,Confirmed,Domestic,Swine,13/11/2021,28/12/2021,1,11/13/2021,11,13,2021-11,2021
32,Americas,Caribbean,Dominican Republic,La Romana,El gato,18.465,-69.105,OIE,Confirmed,Domestic,Swine,13/11/2021,16/02/2022,1,11/13/2021,11,13,2021-11,2021
33,Americas,Caribbean,Dominican Republic,Villa Altagracia,La llanada,18.681583,-68.733947,OIE,Confirmed,Domestic,Swine,10/11/2021,28/12/2021,1,11/10/2021,11,10,2021-11,2021
34,Americas,Caribbean,Dominican Republic,Villa Altagracia,Lopez,18.63945,-68.781226,OIE,Confirmed,Domestic,Swine,10/11/2021,28/12/2021,1,11/10/2021,11,10,2021-11,2021
35,Americas,Caribbean,Dominican Republic,Villa Altagracia,La llanada,18.682,-68.734,OIE,Confirmed,Domestic,Swine,10/11/2021,16/02/2022,1,11/10/2021,11,10,2021-11,2021
36,Americas,Caribbean,Dominican Republic,Villa Altagracia,Lopez,18.639,-68.781,OIE,Confirmed,Domestic,Swine,10/11/2021,16/02/2022,1,11/10/2021,11,10,2021-11,2021
37,Americas,Caribbean,Dominican Republic,Salcedo,Sabana angosta,19.305,-70.397,OIE,Confirmed,Domestic,Swine,10/11/2021,16/02/2022,1,11/10/2021,11,10,2021-11,2021
38,Americas,Caribbean,Dominican Republic,Villa Altagracia,Matachalupe,18.602935,-68.734197,OIE,Confirmed,Domestic,Swine,8/11/2021,28/12/2021,1,11/8/2021,11,8,2021-11,2021
39,Americas,Caribbean,Dominican Republic,Villa Altagracia,Mata Chalupa,18.603,-68.734,OIE,Confirmed,Domestic,Swine,8/11/2021,16/02/2022,1,11/8/2021,11,8,2021-11,2021
40,Americas,Caribbean,Dominican Republic,La Romana,El Gato,18.467,-69.1,OIE,Confirmed,Domestic,Swine,5/11/2021,28/12/2021,1,11/5/2021,11,5,2021-11,2021
41,Americas,Caribbean,Dominican Republic,La Romana,El gato,18.467,-69.1,OIE,Confirmed,Domestic,Swine,5/11/2021,16/02/2022,1,11/5/2021,11,5,2021-11,2021
42,Americas,Caribbean,Dominican Republic,Villa Altagracia,the vacama,18.86883,-68.670579,OIE,Confirmed,Domestic,Swine,2/11/2021,28/12/2021,1,11/2/2021,11,2,2021-11,2021
44,Americas,Caribbean,Dominican Republic,Duvergé,Alto de Macao,19.374,-70.221,OIE,Confirmed,Domestic,Swine,28/10/2021,9/11/2021,1,10/28/2021,10,28,2021-10,2021
46,Americas,Caribbean,Dominican Republic,Villa Altagracia,jobo dulce,18.651227,-68.74324,OIE,Confirmed,Domestic,Swine,28/10/2021,28/12/2021,1,10/28/2021,10,28,2021-10,2021
