"","Event.ID","Disease","Serotype","Region","Subregion","Country","Admin.level.1","Locality","Latitude","Longitude","Diagnosis.source","Diagnosis.status","Animal.type","Species","Observation.date..dd.mm.yyyy.","Report.date..dd.mm.yyyy.","Humans.affected","Human.deaths"
"1",350292,"African swine fever",NA,"Europe","Eastern Europe","Poland","Mazowieckie","OB_117159 - 2023/1033 - MARKI",52.36573,21.13972,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","28/03/2023","6/4/2023","",NA
"2",350293,"African swine fever",NA,"Europe","Eastern Europe","Poland","Mazowieckie","OB_117158 - 2023/1032 - STRACH?W",52.540105,21.594024,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","28/03/2023","6/4/2023","",NA
"3",350299,"African swine fever",NA,"Europe","Eastern Europe","Poland","Lubeiskie","OB_117152 - 2013/1013 - PIELGRZYMKA",50.9747,21.9153,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","27/03/2023","6/4/2023","",NA
"4",350300,"African swine fever",NA,"Europe","Eastern Europe","Poland","Lubeiskie","OB_117151 - 2023/1012 - NIESZAWA",51.0168,21.8519,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","26/03/2023","6/4/2023","",NA
"5",350320,"African swine fever",NA,"Europe","Eastern Europe","Poland","Opolskie","OB_117097 - 2023/989 - ZOFIJ?WKA",51.007597,17.890255,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","25/03/2023","6/4/2023","",NA
"6",350321,"African swine fever",NA,"Europe","Eastern Europe","Poland","Opolskie","OB_117096 - 2023/988 - ZOFIJ?WKA",51.007285,17.890206,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","25/03/2023","6/4/2023","",NA
"7",350290,"African swine fever",NA,"Europe","Eastern Europe","Poland","Warminsko-Mazurskie","OB_117161 - 2023/1030 - JAMIELNIK",53.535253,19.500262,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","24/03/2023","6/4/2023","",NA
"8",350298,"African swine fever",NA,"Europe","Eastern Europe","Poland","Lubeiskie","OB_117153 - 2023/1014 - ROZWAD?WKA",51.7766,23.2995,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","24/03/2023","6/4/2023","",NA
"9",350319,"African swine fever",NA,"Europe","Eastern Europe","Poland","Opolskie","OB_117098 - 2023/990 - GR BOSZ?W",51.047123,17.824938,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","24/03/2023","6/4/2023","",NA
"10",350288,"African swine fever",NA,"Europe","Eastern Europe","Poland","Pomorskie","MY LICE",53.920118,19.500375,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","23/03/2023","6/4/2023","",NA
"11",350294,"African swine fever",NA,"Europe","Eastern Europe","Poland","Mazowieckie","OB_117157 - 2023/1031 - WYSZK?W",52.603222,21.493347,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","23/03/2023","6/4/2023","",NA
"12",350297,"African swine fever",NA,"Europe","Eastern Europe","Poland","Mazowieckie","OB_117154 - 2023/956 - BOJANY",52.702048,21.729012,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","23/03/2023","6/4/2023","",NA
"13",350301,"African swine fever",NA,"Europe","Eastern Europe","Poland","Lubeiskie","OB_117150 - 2023/1011 - KAPLONOSY KOLONIA",51.6503,23.3513,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","23/03/2023","6/4/2023","",NA
"14",350302,"African swine fever",NA,"Europe","Eastern Europe","Poland","Lubeiskie","OB_117149 - 2023/1010 - KAPLONOSY KOLONIA",51.6495,23.3648,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","23/03/2023","6/4/2023","",NA
"15",350322,"African swine fever",NA,"Europe","Eastern Europe","Poland","Opolskie","OB_117095 - 2023/987 - LUBSZA",50.961551,17.643649,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","23/03/2023","6/4/2023","",NA
"16",350291,"African swine fever",NA,"Europe","Eastern Europe","Poland","Warminsko-Mazurskie","OB_117160 - 2023/959 - WIELBARK",53.465924,21.022065,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","21/03/2023","6/4/2023","",NA
"17",350295,"African swine fever",NA,"Europe","Eastern Europe","Poland","Mazowieckie","OB_117156 - 2023/958 - ADAMPOL",52.518751,21.59488,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","21/03/2023","6/4/2023","",NA
"18",350309,"African swine fever",NA,"Europe","Eastern Europe","Poland","Lubeiskie","OB_117139 - 2023/1003 - HOROSTYTA",51.575,23.2547,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","21/03/2023","6/4/2023","",NA
"19",350296,"African swine fever",NA,"Europe","Eastern Europe","Poland","Mazowieckie","OB_117155 - 2023/957 - WYSZK?W",52.599624,21.466626,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","20/03/2023","6/4/2023","",NA
"20",350313,"African swine fever",NA,"Europe","Eastern Europe","Poland","Lubeiskie","OB_117135 - 2023/999 - HOROSTYTA",51.6058,23.2398,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","20/03/2023","6/4/2023","",NA
"21",350323,"African swine fever",NA,"Europe","Eastern Europe","Poland","Opolskie","OB_117094 - 2023/983 - PIECZYSKA",50.99453,17.86753,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","20/03/2023","6/4/2023","",NA
"22",349068,"African swine fever",NA,"Europe","Eastern Europe","Poland","Zachodnio-Pomorskie","Czepino",53.267458,14.53538,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","19/03/2023","24/03/2023","",NA
"23",349570,"African swine fever",NA,"Europe","Eastern Europe","Poland","Mazowieckie","Michr?w",51.945166,20.800083,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","19/03/2023","29/03/2023","",NA
"24",349571,"African swine fever",NA,"Europe","Eastern Europe","Poland","Mazowieckie","Nadkole",52.56419,21.60134,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","19/03/2023","29/03/2023","",NA
"25",350306,"African swine fever",NA,"Europe","Eastern Europe","Poland","Lubeiskie","OB_117142 - 2023/1006 - NIESZAWA",51.018,21.8286,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","19/03/2023","6/4/2023","",NA
"26",350307,"African swine fever",NA,"Europe","Eastern Europe","Poland","Lubeiskie","OB_117141 - 2003/1005 - SUCHAWA",51.5074,23.4005,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","19/03/2023","6/4/2023","",NA
"27",350310,"African swine fever",NA,"Europe","Eastern Europe","Poland","Lubeiskie","OB_117138 - 2023/1002 - ZAMO ODYCZE",51.5712,23.2208,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","19/03/2023","6/4/2023","",NA
"28",349572,"African swine fever",NA,"Europe","Eastern Europe","Poland","Mazowieckie","Daszew",51.87959,20.697573,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","18/03/2023","29/03/2023","",NA
"29",350303,"African swine fever",NA,"Europe","Eastern Europe","Poland","Lubeiskie","OB_117147 - 2023/1009 - WITOSZYN",51.3213,22.0725,"OIE","Confirmed","Wild","Wild Boar:sus Scrofa(Suidae)","18/03/2023","6/4/2023","",NA
